種類,年月,業者名稱,通話分鐘數(分),用戶數,平均用戶通話分鐘數(分)
2G,100/5,台灣大哥大股份有限公司,117147839,1813697,64.59
2G,100/5,遠傳電信股份有限公司,165994740,1792475,92.61
3G,100/4,中華電信股份有限公司,636867802,5638280,112.95
3G,100/4,台灣大哥大股份有限公司,508671223,4582165,111.01
3G,100/4,亞太電信股份有限公司,836263365,3000246,278.73
3G,100/4,威寶電信股份有限公司(至103年12止),396639249,1785583,222.13
3G,100/4,遠傳電信股份有限公司,559077342,4509378,123.98
2G,100/4,中華電信股份有限公司,292707819,4171454,70.17
2G,100/4,台灣大哥大股份有限公司,111466819,1849341,60.27
2G,100/4,遠傳電信股份有限公司,147198975,1822492,80.77
3G,100/3,中華電信股份有限公司,550195385,5603621,98.19
3G,100/3,台灣大哥大股份有限公司,530788592,4536332,117.01
3G,100/3,亞太電信股份有限公司,877896051,2968433,295.74
3G,100/3,威寶電信股份有限公司(至103年12止),399926089,1777841,224.95
3G,100/3,遠傳電信股份有限公司,606060333,4463336,135.79
2G,100/3,中華電信股份有限公司,253755329,4180397,60.7
2G,100/3,台灣大哥大股份有限公司,118516838,1881080,63
2G,100/3,遠傳電信股份有限公司,140761203,1850022,76.09
3G,100/2,中華電信股份有限公司,624353544,5553031,112.43
3G,100/2,台灣大哥大股份有限公司,462127580,4489312,102.94
3G,100/2,亞太電信股份有限公司,762789882,2932184,260.14
3G,100/2,威寶電信股份有限公司(至103年12止),349139407,1739305,200.74
3G,100/2,遠傳電信股份有限公司,529842256,4420375,119.86
2G,100/2,中華電信股份有限公司,295988988,4199813,70.48
2G,100/2,台灣大哥大股份有限公司,112831400,1917343,58.85
2G,100/2,遠傳電信股份有限公司,132532460,1881080,70.46
3G,100/1,中華電信股份有限公司,623474108,5493773,113.49
3G,100/1,台灣大哥大股份有限公司,512315561,4450220,115.12
3G,100/1,亞太電信股份有限公司,837577460,2892390,289.58
3G,100/1,威寶電信股份有限公司(至103年12止),387937313,1739305,223.04
3G,100/1,遠傳電信股份有限公司,585324809,4368967,133.97
2G,100/1,中華電信股份有限公司,300537586,4224870,71.14
2G,100/1,台灣大哥大股份有限公司,125845843,1954906,64.37
2G,100/1,遠傳電信股份有限公司,145819829,1911347,76.29
